StateAbbreviation,AreaCurrentPercent,AreaCurrent,PopulationCurrent,PopulationCurrentPercent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,MapDate
CA,21.32,"33,714.38","14,371,485.39",38.58,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-04-03
CA,94.70,"149,766.49","37,069,990.22",99.51,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-04-10
CA,82.27,"130,114.89","34,195,260.62",91.79,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-04-10
CA,38.57,"60,990.66","20,049,242.63",53.82,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-04-10
CA,21.32,"33,714.38","14,371,485.39",38.58,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-04-10
CA,96.23,"152,181.38","37,103,152.67",99.60,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-04-17
CA,87.30,"138,058.10","36,818,191.25",98.83,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-04-17
CA,56.13,"88,773.89","24,127,672.52",64.77,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-04-17
CA,28.65,"45,314.88","18,889,636.52",50.71,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-04-17
CA,92.25,"145,892.31","37,024,158.59",99.38,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-04-24
CA,82.43,"130,365.72","36,183,482.95",97.13,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-04-24
CA,51.64,"81,670.46","23,566,082.31",63.26,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-04-24
CA,28.65,"45,314.88","18,889,636.52",50.71,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-04-24
CA,92.49,"146,272.49","37,026,847.85",99.39,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-05-01
CA,82.35,"130,235.71","36,147,398.13",97.03,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-05-01
CA,51.64,"81,670.46","23,566,082.31",63.26,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-05-01
CA,28.65,"45,314.88","18,889,636.52",50.71,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-05-01
CA,92.49,"146,272.49","37,026,847.85",99.39,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-05-08
CA,82.35,"130,235.71","36,147,398.13",97.03,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-05-08
CA,51.64,"81,670.46","23,566,082.31",63.26,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-05-08
CA,28.65,"45,314.88","18,889,636.52",50.71,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-05-08
CA,96.69,"152,909.97","37,139,612.67",99.69,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-05-15
CA,89.76,"141,954.98","36,940,580.52",99.16,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-05-15
CA,60.45,"95,605.74","24,762,531.66",66.47,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-05-15
CA,28.65,"45,314.88","18,889,636.52",50.71,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-05-15
CA,96.69,"152,909.97","37,139,612.67",99.69,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-05-22
CA,92.06,"145,587.94","37,027,256.03",99.39,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-05-22
CA,65.34,"103,337.26","28,717,057.81",77.08,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-05-22
CA,34.39,"54,382.97","22,062,625.91",59.22,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-05-22
CA,96.69,"152,909.97","37,139,612.67",99.69,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-05-29
CA,92.32,"146,000.80","37,035,189.89",99.41,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-05-29
CA,65.34,"103,337.26","28,717,057.81",77.08,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-05-29
CA,34.40,"54,406.95","22,073,033.95",59.25,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-05-29
CA,96.69,"152,909.97","37,139,612.67",99.69,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-06-05
CA,92.32,"146,000.80","37,035,189.89",99.41,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-06-05
CA,65.34,"103,337.26","28,717,057.81",77.08,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-06-05
CA,34.40,"54,402.20","22,071,441.03",59.25,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-06-05
CA,96.69,"152,909.97","37,139,612.67",99.69,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-06-12
CA,92.32,"146,000.80","37,035,189.89",99.41,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-06-12
CA,65.34,"103,337.26","28,717,057.81",77.08,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-06-12
CA,34.40,"54,395.23","22,068,028.30",59.24,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-06-12
CA,100.00,"158,147.87","37,253,956.41",100.00,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-06-19
CA,92.32,"146,000.80","37,035,189.89",99.41,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-06-19
CA,65.34,"103,337.26","28,717,057.78",77.08,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-06-19
CA,34.31,"54,263.18","22,067,842.07",59.24,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-06-19
CA,100.00,"158,147.87","37,253,956.41",100.00,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-06-26
